DateTime,AddedIPs,RemovedIPs
1548047233,1,1
1548050855,2,0
1548054437,2,2
1548058043,1,2
1548061640,2,2
1548065248,1,1
1548068848,0,1
1548072446,2,1
1548076040,1,1
1548079657,1,2
1548083255,1,1
1548086848,2,1
1548090575,1,1
1548094468,1,1
1548097643,0,1
1548101514,1,1
1548104840,0,1
1548108457,0,1
1548112041,2,1
1548115669,1,0
1548119262,2,1
1548122852,3,1
1548126449,2,2
1548130050,1,2
1548133711,1,2
1548137230,2,2
1548140846,2,1
1548144445,1,1
1548148042,2,2
1548151636,2,2
1548155230,2,2
1548158833,2,0
1548162446,2,3
1548166040,1,2
1548169648,3,2
1548173236,3,2
1548176856,1,0
1548180427,0,2
1548184026,1,3
1548187632,0,1
1548191236,2,1
1548194844,1,1
1548198432,2,1
1548202083,2,2
1548205637,1,1
1548209239,2,3
1548212848,1,2
1548216437,1,1
1548220030,1,2
1548223653,0,1
1548227241,2,2
1548230835,1,0
1548234423,1,0
1548238038,0,2
1548241643,1,0
1548252437,0,1
1548256097,1,1
1548259634,1,1
1548263232,1,0
1548270425,1,1
1548274034,0,1
1548277639,0,1
1548288466,1,0
1548292017,1,0
1548295632,0,1
1548299242,2,1
1548302832,2,1
1548306433,3,1
1548310027,1,2
1548313651,0,2
1548317233,2,2
1548328033,1,1
1548331640,0,1
1548335230,1,0
1548338837,2,0
1548342430,1,1
1548346030,1,2
1548349630,1,2
1548353221,1,0
1548360428,1,1
1548364038,0,1
1548367642,0,1
1548375005,1,0
1548382054,1,1
1548385644,1,1
1548389268,1,0
1548392839,1,1
1548400044,0,1
1548403651,1,1
1548407245,0,1
1548410867,1,0
1548414440,1,0
1548418035,1,2
1548421625,2,1
1548425229,1,1
1548428850,0,1
1548432441,1,1
1548436049,1,0
1548439642,1,1
1548443250,0,2
1548446837,1,1
1548457649,0,1
1548461278,1,1
1548464821,1,0
1548468456,2,0
1548472056,1,0
1548475640,0,1
1548479256,0,1
1548486447,0,1
1548511643,1,1
1548515240,1,1
1548518831,1,0
1548526038,1,1
1548529640,1,0
1548533249,0,1
1548536824,0,1
1548547680,1,1
1548551236,2,0
1548554836,2,1
1548558452,0,1
1548562056,1,1
1548565636,1,2
1548572847,0,1
1548587237,0,1
1548590844,1,0
1548594442,1,1
1548598025,2,0
1548605253,0,1
1548608830,0,1
1548623242,1,0
1548630446,0,1
1548634088,2,0
1548637664,2,0
1548644843,0,2
1548648442,1,3
1548652038,2,0
1548659218,1,1
1548662847,1,0
1548666438,0,1
1548670053,1,1
1548677239,1,0
1548680846,0,2
1548684435,0,1
1548688052,1,1
1548691634,1,0
1548695247,1,0
1548698835,0,1
1548706031,1,1
1548713235,1,0
1548716832,1,0
1548720666,1,0
1548724120,1,1
1548727726,0,1
1548731249,0,2
1548734861,1,1
1548742052,0,1
1548745646,3,1
1548749257,1,0
1548763652,0,1
1548767265,0,1
1548770848,1,1
1548778037,1,1
1548785241,2,1
1548788850,1,0
1548792755,1,0
1548796164,2,2
1548799653,0,1
1548803256,1,1
1548806924,0,1
1548810436,2,0
1548814044,1,0
1548817648,1,1
1548821237,1,1
1548824847,0,1
1548828807,1,1
1548832103,1,0
1548835649,0,1
1548846443,1,2
1548850044,2,0
1548853655,0,1
1548857250,1,2
1548860845,0,1
1548871655,1,0
1548875245,1,1
1548878835,0,1
1548889638,1,0
1548893276,0,1
1548896849,0,1
1548900442,2,1
1548904048,1,0
1548907649,1,0
1548911246,1,3
1548914856,1,1
1548918452,2,1
1548922044,0,1
1548925657,2,0
1548936443,0,1
1548940033,2,1
1548943642,1,0
1548947250,0,1
1548950849,1,2
1548961636,0,1
1548976040,1,0
1548979745,1,1
1548983395,1,0
1548986853,0,2
1548994049,1,1
1548997643,2,0
1549001247,0,1
1549004843,1,1
1549008445,1,2
1549012039,1,0
1549015645,1,0
1549019247,1,2
1549022829,1,0
1549026455,0,2
1549030054,1,1
1549037249,1,0
1549040846,1,0
1549048057,1,2
1549051645,0,2
1549055259,1,1
1549058858,2,0
1549066064,1,1
1549069655,2,2
1549073254,1,0
1549076850,0,1
1549084051,1,1
1549087643,1,2
1549094838,1,1
1549098441,1,1
1549102072,1,0
1549105639,0,1
1549109255,1,0
1549112843,2,0
1549116451,0,1
1549120041,1,2
1549127255,1,1
1549130853,1,0
1549134456,0,1
1549138054,1,1
1549148837,0,1
1549152473,2,1
1549156034,1,0
1549159640,0,1
1549163239,0,1
1549170496,1,1
1549174176,1,1
1549177881,1,0
1549181225,1,1
1549192029,0,1
1549195629,1,0
1549199233,2,0
1549202838,2,1
1549206446,1,1
1549210040,0,2
1549213632,1,2
1549217224,2,1
1549220832,1,0
1549224435,0,2
1549228032,0,1
1549231641,1,0
1549235235,2,1
1549238875,2,1
1549242452,1,1
1549246041,1,1
1549249655,0,1
1549253251,1,1
1549256840,2,1
1549260445,0,1
1549264050,1,0
1549267632,1,2
1549271244,1,0
1549274840,1,2
1549278432,2,2
1549282031,2,1
1549285636,2,1
1549289236,1,2
1549292841,0,1
1549296436,0,2
1549300041,2,0
1549303646,1,1
1549307245,1,0
1549310825,0,2
1549318030,0,1
1549325323,1,0
1549328868,1,0
1549332449,1,1
1549336046,0,1
1549339648,0,1
1549343317,1,1
1549346837,1,0
1549350448,1,0
