DateTime,AddedIPs,RemovedIPs
1545628110,0,1
1545630048,0,1
1545631975,1,0
1545636063,1,0
1545637972,1,0
1545639895,0,1
1545645729,0,1
1545647545,0,1
1545653317,1,0
1545657175,0,2
1545659068,1,0
1545664836,1,0
1545670582,1,0
1545672532,0,1
1545676382,0,1
1545678277,1,1
1545682346,0,1
1545684286,1,0
1545688373,0,1
1545690292,1,2
1545692545,1,1
1545696317,2,0
1545700349,0,1
1545702271,1,0
1545708025,1,0
1545712113,1,1
1545714113,0,1
1545717900,0,1
1545719810,1,0
1545723649,0,2
1545727709,1,0
1545733705,1,0
1545741391,0,1
1545743344,2,0
1545747150,0,1
1545751014,0,1
1545757314,0,1
1545763006,0,1
1545770904,0,1
1545776697,2,1
1545778582,2,1
1545784378,0,2
1545790139,0,1
1545793966,0,1
1545799944,0,1
1545805954,0,1
1545807900,1,0
1545813650,0,1
1545819656,0,1
1545823481,1,0
1545829319,0,2
1545864515,0,4
1545866422,1,0
1545893800,0,1
1545909650,0,1
1545921393,1,0
1545925242,1,0
1545929314,1,0
1545946822,1,0
1545952600,0,1
1545970381,1,0
1546008019,1,1
1546011883,0,1
1546015975,0,1
1546033966,1,1
1546056290,1,1
1546076206,1,0
1546080050,1,0
1546093704,0,1
1546113416,1,0
1546121075,0,1
1546139295,1,0
1546141213,0,1
1546145096,1,0
1546149178,1,0
1546162851,0,1
1546166694,0,1
1546168587,1,0
1546184217,1,0
1546194540,1,0
1546200279,0,1
1546224768,0,1
1546232512,0,1
1546236288,1,1
1546253785,0,1
1546255951,1,0
1546269621,0,1
1546281636,0,1
1546297330,1,0
1546309485,1,0
1546323627,1,1
1546337114,1,0
1546343138,0,1
1546348831,1,0
1546370452,1,0
1546384125,0,1
1546396104,0,1
1546409790,0,1
1546413858,2,0
1546423494,1,1
1546435015,0,1
1546456608,0,1
1546466698,1,0
1546491132,1,0
1546499101,0,1
1546501005,0,1
1546510595,1,1
1546552124,0,1
1546577585,0,1
1546583308,1,0
1546589097,1,0
1546596795,0,1
1546604444,1,0
1546610183,1,0
1546614303,1,0
1546634669,1,0
1546638517,2,0
1546642369,1,0
1546646213,1,0
1546657969,1,0
1546669950,0,1
1546675740,1,1
1546683492,1,0
1546689385,1,0
1546691305,1,1
1546693305,1,0
1546695139,0,1
1546699234,0,1
1546718532,1,0
1546720356,0,1
1546722318,1,0
1546724457,0,1
1546726361,0,1
1546730203,1,1
1546734028,0,1
1546735972,1,0
1546741962,1,0
1546743886,0,1
1546757781,1,0
1546762162,0,1
1546765955,1,0
1546770064,1,1
1546776069,0,1
1546777979,0,1
1546779903,1,1
1546785895,1,0
1546805336,0,1
1546807236,1,0
1546809180,0,1
1546817093,0,1
1546823318,0,1
1546827203,0,1
1546844709,0,1
1546852356,0,1
1546856223,0,1
1546866551,1,1
1546870355,1,0
1546872300,0,1
1546874187,1,0
1546891950,1,0
1546893909,0,1
1546895796,1,0
