DateTime,AddedIPs,RemovedIPs
1548478133,0,2
1548485779,1,7
1548491541,1,0
1548501387,1,0
1548503299,1,0
1548505240,0,1
1548509101,1,1
1548513163,1,0
1548516986,2,0
1548519182,2,0
1548521080,1,1
1548522977,0,1
1548527078,1,1
1548528969,0,1
1548531136,1,1
1548535240,1,1
1548537132,5,0
1548541002,0,1
1548542898,2,0
1548550574,1,0
1548552746,1,0
1548554927,1,1
1548556824,1,1
1548559012,1,1
1548570521,1,0
1548572488,0,1
1548578190,0,1
1548587808,0,1
1548589947,0,1
1548593775,0,1
1548599796,0,1
1548601707,1,1
1548603619,0,1
1548605536,0,2
1548607547,1,1
1548609413,1,0
1548613219,0,1
1548615167,1,0
1548617061,1,1
1548622882,1,5
1548624748,1,1
1548628578,0,1
1548631046,0,1
1548633789,1,0
1548636022,0,1
1548639883,0,1
1548642045,1,1
1548643931,0,1
1548645885,0,1
1548653671,1,0
1548655477,1,1
1548665091,1,0
1548667249,3,0
1548669162,1,0
1548674219,1,0
1548678776,1,0
1548682824,1,0
1548686697,1,0
1548688574,0,1
1548690504,1,0
1548694339,1,1
1548696275,0,1
1548698170,1,0
1548700141,0,1
1548703228,1,1
1548707060,2,0
1548708989,0,1
1548710914,1,1
1548712872,1,0
1548717182,1,0
1548719052,0,1
1548723145,1,0
1548728919,2,1
1548730842,1,0
1548734699,1,0
1548738526,1,0
1548740660,1,1
1548742580,0,1
1548746431,2,0
1548748357,1,0
1548752202,0,2
1548754103,2,2
1548756980,0,1
1548758896,1,0
1548760833,0,1
1548764898,0,1
1548766909,2,0
1548770845,1,1
1548772812,1,1
1548774774,1,0
1548776662,0,1
1548780760,1,1
1548782659,1,0
1548784599,1,1
1548791096,0,1
1548793226,0,2
1548797063,0,1
1548799012,0,1
1548802874,1,1
1548806674,1,0
1548808849,1,1
1548812654,1,0
1548814862,1,2
1548816740,1,1
1548818679,1,0
1548820573,0,1
1548824667,1,1
1548826598,1,1
1548828763,1,0
1548832574,0,2
1548834503,0,1
1548840281,0,2
1548844108,0,1
1548853972,0,2
1548855862,1,0
1548857807,0,1
1548859940,0,2
1548867157,0,1
1548869076,0,1
1548870972,0,1
1548872892,1,0
1548875088,1,0
1548882761,1,0
1548888773,0,1
1548893816,1,2
1548895714,2,0
1548897649,1,0
1548899545,1,1
1548901453,0,1
1548903396,0,1
1548905539,0,1
1548909383,2,0
1548911546,0,1
1548913451,0,1
1548915401,0,1
1548926890,1,0
1548942261,0,1
1548955965,1,0
1548960043,0,2
1548963859,1,0
1548969619,0,1
1548971544,1,0
1548981379,0,3
1548983563,1,1
1548985455,1,1
1548993392,1,0
1548997239,1,2
1549001093,1,0
1549013073,0,1
1549014988,1,0
1549022674,1,0
1549041883,1,1
1549049573,1,0
1549051484,3,1
1549053647,2,0
1549059387,0,1
1549065681,1,0
1549069491,1,0
1549071374,0,2
1549073549,2,0
1549079562,1,1
1549083659,1,1
1549085573,2,0
1549087483,0,1
1549091312,1,0
1549095170,1,0
1549101150,0,1
1549106209,1,0
1549108100,0,1
1549110027,1,0
1549113870,2,0
1549120835,1,0
1549122733,1,0
1549135005,1,0
1549136887,0,1
1549138811,0,3
1549140760,0,1
1549150841,1,1
1549152749,0,1
1549156592,0,1
1549158493,2,0
1549160509,0,2
1549166172,0,1
1549168127,0,1
1549170068,0,1
1549171951,1,1
1549177963,0,1
1549181799,1,1
1549191382,1,1
1549195501,1,1
1549199320,0,2
1549201256,2,0
1549203413,1,0
1549207460,0,1
1549209398,0,1
1549214173,1,0
1549221868,1,0
1549223793,1,1
1549228585,1,0
1549230529,1,0
1549232426,1,0
1549236250,1,1
1549240113,1,1
1549245879,1,2
1549255470,1,0
1549257375,1,0
1549259312,0,1
1549263139,1,0
1549268920,1,1
1549273729,1,0
1549275643,1,0
1549277559,0,1
1549279477,4,0
1549281469,0,1
1549287168,1,2
1549291227,2,1
1549293179,1,0
1549298899,1,0
1549301064,1,1
1549306876,0,1
1549313075,0,1
1549314984,1,1
1549319093,0,2
1549320994,1,0
1549323169,1,1
1549326991,0,1
1549328906,1,0
1549332986,0,1
1549334895,2,0
1549341141,1,1
1549343101,0,1
1549346921,1,0
1549348834,2,0
1549350766,0,1
1549354577,2,0
1549360345,0,1
1549364178,2,0
1549366344,0,4
1549370212,1,0
1549372119,0,1
1549375942,1,0
1549378960,0,3
1549384812,0,1
1549387007,0,2
1549389161,1,0
1549392980,1,0
1549394908,1,0
1549398762,1,0
1549400664,2,1
1549402594,1,0
1549408347,1,2
1549416270,0,1
1549420115,0,1
1549422095,1,1
1549425870,1,1
1549427798,1,0
1549431636,0,1
1549435458,1,2
1549439531,1,0
1549441485,0,2
1549443372,0,1
1549445292,1,0
1549449134,0,1
1549451084,1,1
1549454912,1,1
1549456830,1,0
1549458737,2,0
1549462580,0,1
1549468350,1,0
1549476259,0,1
1549478103,1,0
1549480107,0,1
1549482066,1,1
1549483934,1,1
1549487784,1,2
1549489693,1,1
1549493798,0,1
1549507524,1,0
1549509376,0,1
1549513459,0,2
1549523076,0,1
1549526926,0,1
1549530730,0,1
1549532681,1,0
1549536747,0,1
1549538668,1,0
1549540598,0,1
1549542516,0,1
1549544462,0,1
1549546360,1,0
1549548289,0,1
1549555952,0,1
1549557882,1,0
1549561957,1,0
1549563871,0,1
1549567704,0,1
1549570580,0,1
1549574444,0,1
1549576346,0,1
1549589560,1,0
1549593641,1,1
1549599400,1,0
1549601289,1,0
1549608967,3,0
