DateTime,AddedIPs,RemovedIPs
1537104786,3,0
1537126837,1,0
1537148918,6,1
1537170877,1,7
1537192884,0,1
1537214910,0,1
1537237254,7,0
1537259315,0,2
1537281383,4,4
1537303480,1,4
1537325546,1,64
1537347656,1,1
1537369502,1,0
1537391790,2,3
1537413854,0,4
1537435716,1,3
1537457797,1,1
1537479884,1,0
1537502004,3,1
1537524276,1,1
1537546131,2,1
1537568173,2,0
1537590026,2,0
1537612111,2,3
1537634201,0,3
1537656290,1,1
1537678344,0,2
1537700485,0,1
1537722519,1,1
1537744584,0,5
1537766430,1,1
1537810357,1,0
1537832203,0,1
1537854262,1,4
1537876607,8,3
1537898686,0,7
1537920743,14,3
1537942833,2,1
1537964911,3,3
1537986983,2,1
1538009077,6,1
1538031153,2,1
1538053509,1,0
1538075565,2,1
1538119698,1,1
1538141798,69,2
1538185957,0,1
1538219329,1,4
1538241401,1,1
1538263469,2,0
1538285555,2,1
1538307622,0,1
1538329463,1,3
1538351536,0,1
1538373378,4,0
1538395309,4,5
1538417307,2,1
1538439161,4,0
1538461480,4,0
1538483555,2,8
1538527710,3,11
1538550083,0,2
1538572343,0,1
1538594205,2,1
1538616510,3,11
1538638585,2,1
1538660436,1,1
1538682528,1,2
1538726931,0,4
1538749017,1,2
1538771069,3,0
1538792942,1,0
1538815011,3,0
1538837057,0,495
1538858900,0,1
1538881012,3,3
1538902874,1,1
1538924920,497,2
1538946996,0,1
1538969083,1,1
1538991158,0,2
1539013479,1,4
1539035793,3,1
1539057894,0,1
1539079957,4,2
1539102047,2,63
1539146178,2,1
1539223484,1,0
1539245541,1,2
1539267384,1,0
1539311315,2,0
1539333650,63,0
1539355953,0,2
1539378046,0,2
1539400342,2,1
1539422428,1,3
1539444767,2,2
1539466810,1,0
1539488674,1,1
1539510746,0,1
1539543884,1,4
1539565947,0,2
1539609880,3,0
1539631943,0,2
1539653797,1,3
1539675866,0,1
1539697953,1,1
1539720115,0,2
1539742121,3,1
1539764208,2,2
1539786250,2,0
1539808373,0,1
1539852286,0,2
1539874375,0,1
1539896468,1,3
1539918620,0,1
1539940954,2,63
1539962899,2,0
1540007063,1,1
1540029155,0,2
1540051344,2,1
1540073324,1,2
1540095405,0,1
1540139337,0,3
1540183474,1,0
1540205317,0,4
1540227376,1,1
1540249493,1,1
1540271808,0,2
1540294111,0,1
1540315957,63,2
1540338022,0,2
1540360102,2,2
1540382178,0,1
1540404065,0,2
1540426045,1,1
1540447972,1,0
1540470261,2,0
1540514444,2,2
1540536768,0,1
1540558857,1,3
1540580905,0,1
1540603004,3,0
1540625062,2,0
1540669006,0,3
1540691061,1,0
1540712905,1,2
1540757088,1,0
1540779168,3,0
1540823332,1,0
1540845650,1,1
1540867702,1,0
1540889795,1,0
1540911667,3,63
1540934446,2,0
1540956515,2,0
1541000205,0,1
1541022278,0,1
1541044355,3214,2
1541066461,6,1
1541088800,0,1
1541110818,1,3
1541132671,1,0
1541154767,2,2
1541253880,0,2
1541275728,1,1
1541341712,0,1
1541363572,1,0
1541385633,1,1
1541407473,3,0
1541429544,1,0
1541473976,2,1
1541496289,0,1
1541518351,1,3
1541540437,0,1
1541562759,0,1
1541584604,1,1
1541606492,1,1
1541628526,2,0
1541650583,0,2
1541672912,2,5
1541717081,0,3
1541739399,1,0
1541761522,0,4
1541783567,2,3
1541805619,0,4
1541827480,0,2
1541849536,0,1
1541893699,1,0
1541915813,1,0
1541960190,0,1
1542004340,1,1
1542026203,1,3
1542048278,47,0
1542070610,0,2
1542092659,1,0
1542137075,0,2
1542170181,1,0
1542192259,1,305
1542214382,1,2894
1542236426,2,3
1542258518,2,1
1542280362,2,3
1542302896,0,1
1542324993,1,1
1542358593,1,1
1542380451,1,1
1542402752,0,1
1542424835,5,1
1542446899,5,0
1542468992,5,1
1542490836,3,495
1542512918,1,2
1542535001,1,1
1542557079,2,0
1542578980,5,0
1542600990,9,0
1542623098,6,1
1542645406,1,0
1542667476,495,1
1542689564,0,1
1542711887,0,1
1542755814,1,0
1542777864,3,64
1542799717,2,1
1542821776,0,2
1542844400,0,1
1542866422,2,0
1542888282,2,1
1542910585,1,1
1542932666,1,1
1542954754,2,0
1542976829,1,1
1542998828,2,0
1543020754,3,2
1543042896,0,3
1543065168,3,4
1543087228,1,3
1543109318,0,3
1543131643,1,0
1543153944,1,3
1543175793,0,4
1543197704,1,5
1543219967,0,7
1543264370,0,3
1543286689,1,0
1543330867,1,1
1543353408,1,2
1543375460,2,1
1543419886,1,2
1543441938,1,0
1543463798,2,0
1543485669,0,2
1543507742,0,2
1543529793,1,0
1543551636,1,1
1543573965,1,1
1543617872,0,3
1543639948,2,0
1543662093,1,2
1543684367,1,3
1543706431,2,2
1543750600,0,1
1543772685,3,0
1543794765,0,2
1543816910,1,0
1543839155,2,2
1543861485,64,1
1543883804,0,1
1543905865,1,0
1543950133,1,1
1543972351,4,2
1543994703,2,0
1544016775,2,1
1544038839,0,1
1544060914,0,2
1544083008,2,2
1544105091,1,0
1544127143,0,2
1544148986,1,2
1544170844,3,1
1544193165,3193,0
1544215240,1,0
1544259695,1,1
1544281947,0,1
1544326110,0,2
1544348205,1,1
1544370279,1,0
1544392600,0,1
1544436514,1,2
1544458855,1,1
1544481166,1,0
1544503086,1,0
1544546914,1,0
1544613883,2,2
1544679871,1,1
1544702195,1,1
1544746123,1,0
1544768448,0,2
1544790518,1,3194
1544834695,1,1
1544856734,0,1
1544878856,0,2
1544900912,1,0
1544945077,2,1
1544967129,0,496
1544988969,496,1
1545010815,7,0
1545032908,2,2
1545055010,1,0
1545099143,0,2
1545121260,3,64
1545143820,2,2
1545165880,1,2
1545210058,0,2
1545254202,1,1
1545276286,3,1
1545298342,3,2
1545320212,1,0
1545364609,1,2
1545408816,0,2
1545430837,64,0
1545474754,1,0
1545518918,1,1
1545541004,2,1
1545563068,0,3
1545585133,0,495
1545607020,0,7
1545629052,1,0
1545650896,0,4
1545672970,1,0
1545694839,0,1
1545717170,3,0
1545739284,1,2
1545761568,495,0
1545783410,0,1
1545827334,1,1
1545871480,1,0
1545893540,2,3
1545915662,0,4
1545937743,1,0
1546003956,1,0
1546048422,0,65
1546070514,4,0
1546092525,0,2
1546114576,0,1
1546180374,1,0
1546224277,1,2
1546246127,2,0
1546267989,0,3
1546290043,0,1
1546311894,2,3
1546333938,0,1
1546355806,1,1
1546377856,1,0
1546399697,3,0
1546421565,2,1
1546443626,1,0
1546465476,64,0
1546487561,0,1
1546509676,1,1
1546531787,0,1
1546553805,0,1
1546597694,3,1
1546619539,1,0
1546641429,2,1
1546663475,0,3
1546685599,1,1
1546707700,1,0
1546729730,1,0
1546752052,1,0
1546774353,1,0
1546818769,1,0
1546862927,0,1
1546884982,1,0
1546907060,1,0
1546928947,2,1
1546950922,2,1
1546972813,1,1
1546994676,0,1
1547016756,0,1
1547038879,3,4
1547060924,1,1
1547083005,1,64
1547105079,1,0
1547127166,1,0
1547149246,0,1
1547193630,2,2
1547215716,2,0
1547237806,0,1
1547259882,1,1
1547281950,1,0
1547303798,1,1
1547325886,1,0
1547347959,1,1
1547392382,0,1
1547414414,0,1
1547436315,1,0
1547458359,2,0
1547480219,3,0
1547502276,1,0
1547524347,0,4
1547557483,0,1
1547579329,0,1
1547623243,3,1
1547645567,0,2
1547667418,0,2
1547711328,1,0
1547755979,1,0
1547778026,2,1
1547800113,0,1
1547821973,1,2
1547844017,1,0
1547866102,1,1
1547887970,0,1
1547910093,0,1
1547932103,1,3
1547953963,1,1
1547976295,0,2
1547998361,1,0
1548020434,1,1
1548042523,3,3
1548064604,2,1
1548086490,4,4
1548108521,2,2
1548152436,1,0
1548218698,1,2
1548240757,1,2
1548262895,1,0
1548307021,0,1
1548329066,1,1
1548351410,1,1
1548395295,1,2
1548417371,1,1
1548450547,1,2
1548494459,2,0
1548516631,1,1
1548560414,0,1
1548582265,0,1
1548604389,1,0
1548626486,0,1
1548670606,1,2
1548692674,2,1
1548736372,0,1
1548758420,2,0
1548780273,1,0
1548802357,0,1
1548824220,0,1
1548846155,2,3
1548868349,0,2
1548890476,65,0
1548912772,0,2
1548956660,0,2
1548978566,1,1
1549000599,0,1
1549044763,1,1
1549066814,3,0
1549110988,0,1
1549154910,0,498
1549176771,0,1
1549198686,499,0
1549220680,1,2
1549264586,0,1
1549286448,1,2
1549308557,0,1
1549374777,1,2
1549396897,0,1
1549418899,1,0
1549440771,0,2
1549506771,2,2
1549550911,0,64
1549594856,1,2
1549616702,0,1
1549638986,0,1
1549660845,0,3
1549682913,1,0
1549704980,2,0
1549749138,2,0
1549814955,0,499
1549836988,499,1
1549902993,1,1
1549947162,2,0
1549969284,1,3
1549991350,1,0
1550035228,1,0
1550057093,1,0
1550079165,3,0
1550101235,3,0
1550123311,1,0
1550145391,1,0
1550167303,4,0
1550189316,1,1
1550211424,1,1
1550233468,1,0
1550277863,3215,0
1550299930,1,2
1550321784,1,0
1550354706,1,1
1550376737,2,0
1550398848,1,0
