DateTime,AddedIPs,RemovedIPs
1547155238,2,0
1547159070,1,0
1547161309,1,16
1547163152,0,22
1547165083,28,0
1547166978,220,0
1547168917,34,0
1547172762,2,0
1547174665,3,0
1547180418,1,0
1547182367,2,0
1547186551,2,1
1547188357,0,5
1547190288,1,0
1547192438,14,0
1547194356,20,3
1547198432,1,2
1547200360,1,1
1547204181,0,1
1547206107,6,4
1547208036,0,1
1547212119,0,3
1547214051,1,0
1547216207,0,3
1547218337,0,12
1547220293,4,0
1547222471,0,2
1547224586,0,2
1547228422,0,3
1547230363,1,2
1547234685,0,2
1547236568,0,2
1547241142,0,2
1547243086,1,0
1547245243,0,1
1547247404,0,1
1547251736,0,52
1547253650,0,228
1547255548,0,2
1547259400,1,2
1547261569,0,3
1547265728,0,1
1547267551,1,0
1547269500,0,2
1547271384,1,1
1547273823,0,1
1547277669,0,4
1547279556,0,30
1547281488,0,1
1547283394,183,0
1547285550,0,2
1547293459,0,6
1547299483,0,1
1547307656,0,4
1547315774,0,1
1547330171,0,1
1547344365,0,1
1547354455,0,1
1547358511,0,1
1547360448,5,0
1547368343,0,2
1547370539,0,181
1547372690,1,0
1547374831,4,0
1547378689,1,0
1547398337,138,0
1547406272,1,0
1547408418,1,0
1547418275,1,0
1547446329,0,5
1547448510,1,0
1547452621,8,0
1547454872,7,0
1547457174,5,0
1547459079,0,1
1547461253,0,4
1547465300,0,1
1547479005,75,0
1547480921,33,0
1547482855,0,7
1547484735,0,101
1547492522,0,1
1547494371,0,1
1547496267,1,0
1547502269,2,0
1547504599,0,1
1547524883,1,0
1547526739,1,0
1547534899,3,1
1547536825,6,0
1547540671,1,15
1547542895,101,5
1547564524,0,3
1547566611,0,62
1547582701,0,1
1547588435,0,2
1547594455,1,0
1547611972,0,1
1547613870,0,1
1547619861,0,8
1547623701,0,6
1547626596,1,0
1547628804,0,162
1547630670,0,8
1547638345,1,0
1547644114,1,0
1547647945,1,0
1547664052,1,0
1547679727,0,1
1547687567,5,0
1547695489,3,0
1547701544,1,0
1547703415,1,0
1547713230,0,1
1547718975,1,0
1547723107,21,0
1547725024,0,1
1547730999,1,1
1547733141,0,1
1547748781,0,1
1547750659,1,0
1547752842,1,0
1547768195,1,0
1547774195,0,5
1547776218,1,0
1547781893,0,3
1547787924,0,1
1547790054,0,1
1547799667,2,0
1547801573,8,0
1547803815,6,0
1547805670,4,1
1547807554,1,0
1547809507,1,21
1547813554,1,0
1547817386,0,1
1547821483,5,0
1547835885,2,0
1547837770,0,1
1547839943,1,1
1547853861,1,0
1547855802,0,1
1547861572,0,1
1547886972,0,3
1547889155,0,12
1547891086,0,1
1547893257,0,5
1547895149,2,0
1547897053,1,1
1547898991,0,1
1547902882,4,0
1547904767,27,0
1547906662,166,0
1547908597,10,5
1547914661,1,0
1547926578,0,1
1547934764,1,0
1547940742,0,1
1547944596,5,0
1547981057,0,2
1547982998,0,1
1547987065,1,0
1547988977,1,0
1547991165,3,26
1547993095,4,168
1547995226,1,6
1548000988,0,1
1548006761,1,0
1548020662,1,1
1548024799,1,0
1548026687,1,0
1548030754,1,14
1548040584,1,0
1548056208,10,0
1548058104,1,0
1548060051,9,0
1548073491,0,1
1548075408,0,1
1548077546,0,3
1548079509,0,4
1548081407,0,1
1548083564,1,0
1548093371,0,1
1548099398,1,0
1548101341,2,0
1548107077,0,1
1548110897,0,1
1548112849,0,1
1548116686,0,1
1548126351,0,1
1548132023,1,0
1548139728,1,0
1548143539,0,11
1548145454,8,0
1548147684,0,9
1548149563,2,0
1548151459,11,0
1548153406,27,0
1548168762,0,1
1548186507,1,2
1548188424,0,1
1548217462,1,1
1548219434,1,0
1548227547,0,1
1548229488,2,0
1548231390,0,8
